LSOA21CD,Population,Households,Working_population,Students,Unemployed,Age_over_65,Disability,No_central_heating,Overcrowding,Working_from_home
E01034409,2039,1210,1517,327,3.5060976,2.2571148,10.053948,72,31,629
E01006866,1719,691,720,98,3.6036036,14.3189756,23.6183828,5,28,184
E01006591,1493,627,798,139,1.8714402,14.5430287,14.0656397,13,6,331
E01006521,1566,896,734,60,4.0598291,26.0536398,24.4572158,29,13,303
E01006660,1388,622,587,83,4.3776824,17.595945,26.945245,15,22,80
E01034396,1852,716,797,92,3.010279,9.2632719,20.4643629,6,37,151
E01034410,1029,594,711,158,3.0181087,3.595724,12.6336249,28,19,300
E01006867,2107,814,1149,118,2.6595745,13.1816027,15.3773137,4,15,360
E01006592,1530,602,700,139,1.8081761,25.9672131,15.751634,0,8,304
E01006523,1466,807,793,105,4.112719,15.9726962,26.3301501,10,12,336
E01006597,1678,692,737,103,2.2270115,25.8949881,17.1036949,12,9,339
E01006652,1450,625,721,68,3.5264484,18.0814355,23.0344828,20,12,158
E01034411,1119,742,677,293,3.3149171,2.9464286,9.919571,19,16,285
E01006768,1333,589,612,87,3.968254,15.1241535,22.8807202,13,13,181
E01034397,1842,676,934,108,2.8103044,3.647251,12.4864278,4,32,221
E01006528,1353,568,737,86,2.7802691,13.5055351,17.2949002,13,8,297
E01006868,1518,661,654,72,2.2052587,16.9973545,22.9249012,4,16,170
E01006656,1397,646,699,74,3.555941,15.7857143,24.6241947,21,16,181
E01006553,1484,540,718,430,2.6336174,7.2151045,16.1051213,10,11,247
E01006882,1183,504,482,44,0.999001,34.0966921,17.328825,9,2,165
E01006617,1488,695,743,57,3.0015798,22.2446237,20.4973118,7,6,243
E01006628,1754,653,815,412,2.3855577,14.2450142,17.4458381,11,10,330
E01006600,1419,581,586,76,4.1415013,18.4582744,28.5412262,15,18,110
E01006869,1571,746,787,57,2.5954198,16.1146497,22.1514959,12,9,208
E01006657,1122,573,523,55,4.7720042,17.4843889,24.9554367,24,13,110
E01006588,1579,691,759,163,3.9969834,17.4904943,18.3660545,18,12,302
E01006883,1379,629,596,53,1.1914894,30.6240929,17.8390138,9,4,196
E01006629,1315,600,638,42,2.0776874,22.0700152,20.608365,12,15,261
E01006603,1466,601,627,60,4.0336134,18.3367416,26.2619372,7,23,101
E01006819,1737,727,816,63,2.6928675,16.8202765,21.3010938,12,20,156
E01006780,1361,569,676,61,2.1582734,18.3222958,19.9853049,16,11,152
E01006590,1576,653,806,173,2.8009084,16.2746345,19.7969543,13,10,337
E01006820,1491,619,567,64,3.7466548,12.2736419,25.0838364,9,30,60
E01006783,1334,584,629,63,4.9270073,16.991018,22.4887556,24,16,143
E01006593,1451,590,812,145,2.4534687,9.5796003,13.8525155,11,9,334
E01006619,1758,780,892,91,3.4153005,19.5343555,18.3162685,18,11,280
